CTUID,Geography,Total - Sex,  Male,  Female
5350576.56,0576.56 (5350576.56)   00000 (  1.7%),7835,3920,3920
5350576.57,0576.57 (5350576.57)   00000 (  3.3%),3505,1650,1855
5350576.58,0576.58 (5350576.58)   00000 (  2.1%),8390,4055,4340
5350576.59,0576.59 (5350576.59)   00000 (  1.6%),6550,3265,3285
5350576.60,0576.60 (5350576.60)   00000 (  1.9%),8505,4275,4230
5350576.61,0576.61 (5350576.61)   00000 (  2.3%),11170,5610,5560
5350576.62,0576.62 (5350576.62)   00000 (  2.1%),7015,3510,3500
5350576.63,0576.63 (5350576.63)   00000 (  1.6%),6180,3120,3060
5350576.64,0576.64 (5350576.64)   00000 (  2.0%),8610,4285,4320
5350576.65,0576.65 (5350576.65)   00000 (  1.5%),2365,1165,1195
5350576.66,0576.66 (5350576.66)   00000 (  2.1%),6605,3310,3300
5350576.67,0576.67 (5350576.67)   00000 (  1.3%),8090,4060,4035
5350576.68,0576.68 (5350576.68)   00000 (  2.3%),5100,2615,2485
5350576.69,0576.69 (5350576.69)   00000 (  1.5%),5665,2860,2805
5350576.70,0576.70 (5350576.70)   00000 (  2.2%),18970,9365,9605
5350576.71,0576.71 (5350576.71)   00000 (  2.1%),23400,11710,11700
5350576.72,0576.72 (5350576.72)   00000 (  2.6%),9490,4745,4745
5350585.02,0585.02 (5350585.02)   00000 (  2.4%),6180,3125,3055
5350585.03,0585.03 (5350585.03)   00000 (  2.4%),5455,2675,2780
5350585.05,0585.05 (5350585.05)   00000 (  2.1%),7215,3660,3555
5350585.07,0585.07 (5350585.07)   00000 (  2.5%),7015,3480,3535
5350585.08,0585.08 (5350585.08)   00000 (  2.0%),3830,1920,1910
5350585.09,0585.09 (5350585.09)   00000 (  2.5%),5755,2870,2885
5350585.10,0585.10 (5350585.10)   00000 (  2.1%),4115,2045,2075
5350586.01,0586.01 (5350586.01)   00000 (  2.1%),12565,6170,6390
5350586.02,0586.02 (5350586.02)   00000 (  3.1%),2890,1495,1395
5350587.01,0587.01 (5350587.01)   00000 (  2.8%),5965,3075,2890
5350587.02,0587.02 (5350587.02)   00000 (  2.6%),5515,2730,2790
5350590.00,0590.00 (5350590.00)   00000 (  4.0%),4965,2375,2595
5350591.01,0591.01 (5350591.01)   00000 (  2.9%),5445,2620,2825
5350591.02,0591.02 (5350591.02)   00000 (  1.8%),5025,2440,2590
5350592.01,0592.01 (5350592.01)   00000 (  2.7%),6875,3260,3610
5350592.02,0592.02 (5350592.02)   00000 (  3.4%),6590,3230,3360
5350593.00,0593.00 (5350593.00)   00000 (  3.2%),8610,4320,4285
5350600.01,0600.01 (5350600.01)   00000 (  1.3%),6300,3135,3165
5350600.02,0600.02 (5350600.02)   00000 (  1.5%),7020,3455,3555
5350601.00,0601.00 (5350601.00)   00000 (  2.2%),4115,2010,2105
5350602.00,0602.00 (5350602.00)   00000 (  5.1%),4895,2315,2585
5350603.00,0603.00 (5350603.00)   00000 (  4.5%),4995,2290,2705
5350604.00,0604.00 (5350604.00)   00000 (  6.4%),2345,1030,1310
5350605.00,0605.00 (5350605.00)   00000 (  5.9%),2535,1170,1365
5350606.00,0606.00 (5350606.00)   00000 (  2.8%),5090,2390,2700
5350607.00,0607.00 (5350607.00)   00000 (  2.3%),2980,1470,1515
5350608.00,0608.00 (5350608.00)   00000 (  4.9%),2675,1310,1365
5350609.00,0609.00 (5350609.00)   00000 (  2.1%),2805,1375,1430
5350610.02,0610.02 (5350610.02)   00000 (  1.7%),8875,4340,4535
5350610.03,0610.03 (5350610.03)   00000 (  3.5%),4535,2065,2465
5350610.04,0610.04 (5350610.04)   00000 (  5.4%),3245,1465,1775
5350611.00,0611.00 (5350611.00)   00000 (  2.0%),4990,2510,2485
5350612.01,0612.01 (5350612.01)   00900 (  5.4%),70,30,35
5350612.03,0612.03 (5350612.03)   00000 (  1.6%),6250,3020,3230
5350612.05,0612.05 (5350612.05)   00000 (  2.9%),5875,2785,3090
5350612.08,0612.08 (5350612.08)   00000 (  3.6%),5560,2650,2910
5350612.10,0612.10 (5350612.10)   01900 ( 16.9%),50,35,15
5350612.11,0612.11 (5350612.11)   00000 (  1.6%),5810,2880,2930
5350612.12,0612.12 (5350612.12)   00000 (  1.7%),6845,3370,3480
5350612.13,0612.13 (5350612.13)   00000 (  1.9%),3810,1845,1965
5350612.14,0612.14 (5350612.14)   00000 (  2.7%),4260,2100,2165
5350612.15,0612.15 (5350612.15)   00000 (  1.7%),7110,3440,3675
5350612.18,0612.18 (5350612.18)   00000 (  1.2%),4380,2160,2215
5350612.19,0612.19 (5350612.19)   00000 (  1.7%),4065,1955,2110
5350612.20,0612.20 (5350612.20)   00000 (  1.4%),4405,2160,2240
5350612.21,0612.21 (5350612.21)   00000 (  1.4%),6695,3235,3465
5350612.22,0612.22 (5350612.22)   00000 (  1.6%),7325,3570,3750
5350612.23,0612.23 (5350612.23)   00000 (  3.6%),4820,2325,2495
5350612.24,0612.24 (5350612.24)   00000 (  1.5%),7980,3880,4100
5350612.25,0612.25 (5350612.25)   00000 (  1.2%),5475,2725,2750
5350612.26,0612.26 (5350612.26)   00000 (  7.3%),4140,1865,2275
5350612.27,0612.27 (5350612.27)   00000 (  3.4%),5320,2610,2710
5350613.01,0613.01 (5350613.01)   00000 (  2.1%),4135,2035,2095
5350613.03,0613.03 (5350613.03)   00000 (  3.9%),4075,1950,2125
5350613.04,0613.04 (5350613.04)   00100 (  5.2%),4480,2065,2410
5350614.01,0614.01 (5350614.01)   00000 (  1.8%),3135,1545,1595
5350614.02,0614.02 (5350614.02)   00000 (  1.9%),3940,1910,2030
5350615.00,0615.00 (5350615.00)   00000 (  2.2%),6430,3170,3260
5350620.01,0620.01 (5350620.01)   00000 (  2.0%),9195,4540,4655
5350620.05,0620.05 (5350620.05)   00000 (  1.3%),4590,2275,2310
5350620.06,0620.06 (5350620.06)   00000 (  1.7%),6805,3250,3545
5350620.07,0620.07 (5350620.07)   00000 (  0.8%),5445,2750,2695
5350620.08,0620.08 (5350620.08)   00000 (  2.0%),7925,3925,3995
5350620.09,0620.09 (5350620.09)   00000 (  1.9%),5280,2595,2685
5350620.10,0620.10 (5350620.10)   00000 (  1.6%),11960,5985,5975
5350620.11,0620.11 (5350620.11)   00000 (  1.8%),11685,5790,5895
5350620.12,0620.12 (5350620.12)   00000 (  2.3%),17655,8765,8880
5350620.13,0620.13 (5350620.13)   00000 (  3.7%),2370,1240,1130
5350621.00,0621.00 (5350621.00)   00000 (  3.7%),5580,2615,2965
5350622.00,0622.00 (5350622.00)   00000 (  2.7%),6040,2985,3050
5350623.00,0623.00 (5350623.00)   00000 (  4.8%),3605,1680,1920
5350624.00,0624.00 (5350624.00)   00000 (  2.1%),5280,2585,2690
5350625.00,0625.00 (5350625.00)   03100 ( 33.3%),880,565,315
5350626.00,0626.00 (5350626.00)   00000 (  2.2%),5840,2955,2885
5350630.00,0630.00 (5350630.00)   00000 (  4.3%),3315,1730,1590
5350631.02,0631.02 (5350631.02)   00000 (  1.1%),4900,2435,2465
5350631.03,0631.03 (5350631.03)   00000 (  1.2%),4825,2360,2465
5350631.04,0631.04 (5350631.04)   00000 (  1.1%),5440,2650,2790
5350632.00,0632.00 (5350632.00)   00000 (  2.3%),4355,2090,2265
5350633.00,0633.00 (5350633.00)   00000 (  5.3%),3380,1580,1800
5350634.01,0634.01 (5350634.01)   00000 (  1.6%),4435,2175,2260
5350634.02,0634.02 (5350634.02)   00000 (  1.9%),3670,1800,1865
5350635.00,0635.00 (5350635.00)   00000 (  3.2%),6065,2920,3145
5350636.00,0636.00 (5350636.00)   00000 (  2.1%),3060,1520,1545
5350637.00,0637.00 (5350637.00)   00000 (  5.5%),7260,3795,3465
5350638.00,0638.00 (5350638.00)   00000 (  2.6%),6010,2930,3085
5350639.00,0639.00 (5350639.00)   00000 (  1.7%),4450,2245,2205
5350800.01,0800.01 (5350800.01)   00000 (  2.9%),3105,1440,1660
5350800.02,0800.02 (5350800.02)   00000 (  5.0%),4535,2180,2355
5350801.01,0801.01 (5350801.01)   00000 (  2.4%),3515,1700,1815
