CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350484.04,755,760,755,755,755,755,755,755,755,760,755,755,755,755,755,755,755,755,760,755,755,755,755,755,755,760,755,760,760,755,755,755,755,755
5350485.01,6195,6195,6190,6190,6190,6190,6195,6195,6190,6195,6190,6195,6195,6195,6195,6195,6195,6195,6195,6190,6195,6195,6195,6195,6195,6195,6195,6195,6195,6195,6190,6190,6195,6195
5350485.02,5665,5665,5660,5660,5665,5665,5665,5665,5665,5665,5665,5660,5660,5665,5660,5660,5665,5660,5660,5665,5665,5665,5660,5660,5660,5660,5665,5665,5665,5660,5660,5660,5660,5660
5350500.01,2870,2865,2865,2870,2870,2870,2865,2870,2865,2870,2865,2865,2870,2865,2870,2870,2865,2865,2870,2870,2870,2870,2870,2865,2870,2870,2865,2870,2870,2870,2870,2865,2865,2870
5350500.02,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230
5350501.01,4980,4980,4975,4975,4975,4980,4975,4975,4975,4975,4980,4980,4980,4975,4975,4975,4980,4980,4980,4975,4980,4975,4975,4980,4980,4975,4975,4975,4980,4980,4975,4975,4975,4980
5350501.02,5785,5780,5780,5785,5780,5780,5780,5785,5780,5780,5780,5785,5780,5785,5785,5780,5785,5785,5785,5780,5780,5785,5780,5780,5780,5780,5780,5780,5780,5780,5785,5780,5780,5780
5350502.01,4595,4590,4595,4595,4595,4595,4590,4595,4595,4595,4595,4590,4595,4590,4595,4590,4595,4595,4595,4590,4595,4595,4595,4590,4595,4590,4595,4595,4595,4595,4590,4595,4590,4595
5350502.02,2050,2050,2050,2050,2050,2050,2050,2050,2045,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
5350503.00,4225,4225,4225,4230,4225,4230,4230,4225,4225,4225,4230,4230,4225,4225,4230,4225,4230,4225,4225,4225,4230,4230,4230,4225,4225,4230,4230,4225,4230,4230,4225,4225,4230,4225
5350504.00,2750,2745,2745,2745,2750,2745,2750,2745,2745,2745,2745,2745,2745,2750,2750,2745,2750,2750,2745,2750,2745,2745,2750,2750,2750,2750,2745,2745,2745,2745,2745,2745,2745,2745
5350505.01,3860,3865,3860,3865,3860,3865,3865,3860,3865,3865,3865,3865,3860,3865,3860,3865,3865,3865,3860,3865,3865,3860,3865,3865,3865,3860,3865,3865,3865,3865,3860,3865,3860,3860
5350505.02,4700,4705,4700,4705,4705,4705,4700,4705,4700,4705,4705,4700,4700,4705,4700,4705,4700,4700,4700,4705,4700,4700,4705,4705,4705,4700,4705,4700,4700,4700,4705,4705,4700,4705
5350506.00,2150,2150,2150,2150,2150,2150,2150,2145,2150,2145,2145,2150,2150,2150,2150,2145,2150,2150,2150,2150,2145,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150
5350507.00,3030,3030,3030,3030,3030,3030,3035,3030,3035,3030,3030,3030,3030,3030,3035,3035,3035,3035,3030,3035,3030,3030,3035,3030,3030,3030,3030,3035,3030,3030,3030,3030,3030,3030
5350508.00,2670,2670,2670,2670,2670,2670,2665,2670,2670,2670,2665,2670,2670,2670,2665,2670,2670,2670,2665,2670,2670,2665,2670,2670,2670,2665,2670,2670,2670,2670,2670,2665,2670,2670
5350509.01,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4255,4260,4260,4255,4260,4260,4260,4260,4260,4255,4260,4260,4260,4260,4260,4255,4255,4260,4260
5350509.02,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
5350510.00,4700,4700,4700,4700,4705,4705,4705,4700,4700,4700,4700,4700,4700,4700,4700,4705,4700,4700,4700,4700,4700,4700,4700,4705,4700,4700,4700,4700,4700,4700,4700,4705,4705,4700
5350511.01,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925
5350511.02,3970,3965,3965,3965,3965,3965,3965,3965,3965,3965,3965,3970,3970,3965,3970,3970,3965,3965,3970,3970,3965,3965,3965,3970,3970,3965,3965,3970,3970,3970,3970,3970,3970,3965
5350512.00,4735,4735,4735,4730,4730,4730,4730,4735,4730,4735,4735,4735,4735,4735,4730,4735,4730,4735,4735,4730,4735,4735,4730,4735,4735,4730,4730,4735,4730,4735,4730,4735,4735,4730
5350513.01,5970,5965,5965,5965,5965,5965,5970,5970,5965,5965,5965,5965,5970,5970,5965,5970,5965,5970,5965,5965,5965,5965,5965,5970,5970,5965,5970,5970,5970,5970,5965,5970,5965,5970
5350513.02,5275,5275,5275,5270,5275,5275,5270,5275,5275,5270,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5270,5275,5270,5275,5275,5275,5275,5270
5350513.03,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525
5350513.04,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210
5350514.01,1990,1990,1990,1990,1990,1985,1990,1985,1990,1990,1990,1985,1990,1990,1990,1985,1990,1990,1990,1985,1990,1990,1990,1985,1990,1990,1990,1990,1990,1985,1990,1990,1990,1990
